Id,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
996,May,4,Monday,Chevrolet,Urban,Tuesday,May,4,Male,Single,58,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,996,12,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
997,May,3,Friday,Pontiac,Urban,Wednesday,Jun,1,Male,Single,25,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,997,15,400,4,more than 30,more than 30,1,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
998,May,3,Saturday,Pontiac,Urban,Tuesday,May,3,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,998,3,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
999,Feb,1,Wednesday,Pontiac,Rural,Friday,Feb,1,Male,Married,31,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,999,6,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
1000,May,2,Saturday,Mazda,Urban,Tuesday,May,2,Male,Single,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1000,10,400,1,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
1001,May,2,Sunday,Pontiac,Urban,Tuesday,May,2,Female,Married,37,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1001,3,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
1002,May,1,Wednesday,Pontiac,Urban,Monday,May,2,Female,Single,40,Third Party,Sedan - Liability,Sport,less than 20000,0,1002,9,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,1 year,1 vehicle,1994,Liability
1003,Feb,1,Wednesday,Accura,Urban,Monday,Feb,2,Male,Married,79,Policy Holder,Sedan - Liability,Sport,30000 to 39000,1,1003,7,400,4,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability
1004,Apr,4,Thursday,Toyota,Urban,Friday,Apr,4,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1004,2,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1005,Apr,3,Saturday,Mazda,Urban,Thursday,Apr,4,Male,Single,23,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1005,15,400,4,more than 30,more than 30,2 to 4,6 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Liability
1006,Apr,3,Thursday,Pontiac,Urban,Thursday,Apr,4,Male,Married,45,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1006,12,400,2,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
1007,Sep,2,Monday,Toyota,Urban,Monday,Oct,4,Male,Married,42,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1007,6,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
1008,Nov,4,Wednesday,Toyota,Urban,Thursday,Nov,4,Male,Single,40,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,1008,14,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
1009,Dec,4,Friday,Toyota,Urban,Thursday,Dec,5,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1009,10,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Collision
1010,Nov,4,Saturday,Honda,Urban,Tuesday,Nov,5,Male,Married,70,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1010,2,400,4,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Collision
1011,Dec,1,Sunday,Honda,Urban,Tuesday,Dec,1,Female,Married,43,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1011,16,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
1012,Dec,1,Saturday,Honda,Urban,Monday,Dec,1,Male,Married,42,Third Party,Sedan - Collision,Sedan,more than 69000,0,1012,1,400,2,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1013,Aug,5,Wednesday,Mazda,Urban,Tuesday,Sep,1,Male,Married,54,Third Party,Sedan - Liability,Sport,20000 to 29000,0,1013,15,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
1014,Feb,1,Wednesday,Toyota,Urban,Wednesday,Feb,1,Male,Married,51,Third Party,Sedan - Liability,Sport,30000 to 39000,0,1014,6,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
1015,Dec,4,Tuesday,Mazda,Urban,Wednesday,Dec,5,Male,Married,56,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1015,7,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability
1016,Sep,2,Wednesday,Chevrolet,Urban,Thursday,Oct,2,Male,Married,37,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1016,9,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
1017,Oct,1,Friday,Toyota,Urban,Friday,Oct,1,Male,Married,51,Third Party,Sedan - All Perils,Sedan,less than 20000,0,1017,13,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
1018,Aug,3,Wednesday,Mazda,Urban,Monday,Aug,4,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1018,15,400,1,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1019,Aug,3,Tuesday,Honda,Rural,Friday,Sep,3,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,1019,9,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
1020,Jul,3,Monday,Chevrolet,Urban,Wednesday,Jul,3,Male,Single,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1020,5,400,1,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
1021,Nov,2,Friday,Mazda,Urban,Monday,Nov,3,Male,Married,43,Third Party,Sedan - Collision,Sedan,30000 to 39000,1,1021,5,500,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,2 to 3 years,1 vehicle,1994,Collision
1022,Dec,4,Sunday,Honda,Urban,Tuesday,Dec,4,Male,Married,72,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,1022,6,400,1,more than 30,more than 30,1,7 years,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils
1023,Sep,1,Thursday,Chevrolet,Urban,Wednesday,Sep,2,Male,Married,39,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,1023,6,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
1024,Feb,1,Thursday,Accura,Urban,Monday,Feb,2,Male,Married,31,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,1024,1,700,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
1025,Dec,3,Saturday,Accura,Urban,Sunday,Jan,1,Male,Married,41,Third Party,Sedan - All Perils,Sedan,more than 69000,0,1025,4,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
1026,Dec,2,Sunday,Toyota,Urban,Monday,Dec,2,Male,Married,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1026,6,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,3 to 4,1994,Liability
1027,Sep,5,Thursday,Mazda,Urban,Wednesday,Oct,3,Male,Single,19,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1027,10,400,1,1 to 7,more than 30,2 to 4,2 years,21 to 25,No,No,External,none,no change,1 vehicle,1994,Collision
1028,Feb,1,Thursday,Chevrolet,Urban,Saturday,Apr,1,Male,Married,36,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1028,6,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
1029,Feb,2,Thursday,Toyota,Urban,Monday,Feb,3,Female,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1029,8,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
1030,Feb,1,Sunday,Pontiac,Urban,Wednesday,Feb,2,Male,Married,50,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1030,2,400,4,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability
1031,Jan,2,Friday,Honda,Urban,Friday,Jan,2,Male,Single,63,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,1031,6,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
1032,Jan,5,Saturday,Honda,Urban,Tuesday,Jan,5,Male,Married,32,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1032,16,400,4,more than 30,more than 30,more than 4,new,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
1033,Feb,1,Friday,Mazda,Urban,Saturday,Feb,1,Female,Married,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1033,9,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
1034,Feb,4,Sunday,Toyota,Urban,Friday,Mar,2,Male,Married,59,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1034,11,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
1035,Dec,3,Tuesday,Chevrolet,Urban,Wednesday,Dec,3,Male,Single,27,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,1035,13,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
1036,May,4,Wednesday,Toyota,Rural,Thursday,May,4,Male,Single,64,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1036,6,400,2,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
1037,Mar,3,Monday,Mazda,Urban,Wednesday,Mar,3,Male,Married,48,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1037,16,400,1,more than 30,more than 30,1,5 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
1038,Mar,2,Thursday,Chevrolet,Urban,Thursday,Mar,3,Male,Married,49,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1038,1,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
1039,Mar,2,Monday,Honda,Urban,Tuesday,Mar,2,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1039,9,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability
1040,Mar,4,Thursday,Chevrolet,Urban,Friday,Apr,1,Female,Single,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1040,7,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
1041,Mar,4,Monday,Honda,Urban,Thursday,Mar,4,Female,Single,43,Third Party,Sedan - Liability,Sport,20000 to 29000,0,1041,12,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
1042,Mar,3,Saturday,Chevrolet,Rural,Monday,Mar,4,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1042,15,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1043,Apr,2,Thursday,Pontiac,Rural,Tuesday,Apr,2,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1043,5,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
1044,Apr,1,Monday,Honda,Urban,Monday,Apr,1,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1044,9,400,3,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability
1045,Mar,2,Wednesday,Accura,Urban,Wednesday,Mar,4,Female,Single,26,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1045,12,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
1046,Mar,5,Wednesday,Chevrolet,Urban,Thursday,Apr,1,Male,Single,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1046,3,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
1047,Mar,5,Thursday,Pontiac,Urban,Saturday,Apr,1,Female,Married,37,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1047,3,400,2,more than 30,more than 30,2 to 4,4 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
1048,Jul,2,Sunday,Honda,Urban,Monday,Aug,3,Male,Married,55,Third Party,Sport - Collision,Sport,more than 69000,0,1048,9,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
1049,Jun,4,Tuesday,Honda,Urban,Friday,Jul,2,Male,Married,48,Third Party,Sport - Collision,Sport,more than 69000,0,1049,5,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
1050,Jun,4,Thursday,Honda,Urban,Friday,Jun,4,Male,Married,52,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1050,5,400,3,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
1051,Mar,2,Monday,Toyota,Urban,Saturday,Mar,4,Male,Single,31,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,1051,15,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,Internal,none,no change,1 vehicle,1994,Collision
1052,Apr,1,Friday,Toyota,Urban,Wednesday,Apr,1,Male,Married,45,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,1052,15,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
1053,Mar,5,Tuesday,Chevrolet,Urban,Friday,Apr,1,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,1053,14,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
1054,Feb,4,Thursday,Honda,Urban,Friday,Feb,4,Male,Single,17,Policy Holder,Sport - Collision,Sport,more than 69000,0,1054,10,400,3,more than 30,more than 30,none,2 years,18 to 20,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
1055,Feb,1,Friday,Pontiac,Urban,Friday,Feb,2,Male,Single,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,1055,14,700,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
1056,Dec,3,Wednesday,Honda,Urban,Tuesday,Dec,4,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1056,9,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1057,Nov,5,Tuesday,Pontiac,Urban,Tuesday,Nov,5,Female,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1057,2,400,1,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
1058,Oct,2,Monday,Toyota,Rural,Wednesday,Oct,3,Male,Single,22,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1058,11,400,4,more than 30,more than 30,1,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
1059,Sep,2,Friday,Accura,Urban,Monday,Oct,1,Male,Married,50,Policy Holder,Utility - All Perils,Utility,more than 69000,0,1059,4,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
1060,Nov,3,Sunday,Mazda,Urban,Friday,Nov,4,Male,Married,52,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,1060,1,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
1061,Nov,3,Sunday,Toyota,Rural,Tuesday,Nov,4,Female,Married,35,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1061,3,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
1062,Feb,1,Monday,Pontiac,Urban,Monday,Feb,1,Male,Single,40,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1062,12,400,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
1063,Feb,1,Saturday,Chevrolet,Urban,Monday,Feb,2,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,1063,6,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
1064,Feb,2,Monday,Chevrolet,Urban,Thursday,Feb,2,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1064,7,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
1065,Jan,5,Friday,Ford,Urban,Monday,Jan,5,Male,Married,49,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1065,2,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
1066,Nov,4,Friday,Mazda,Urban,Monday,Dec,1,Male,Single,44,Third Party,Sedan - Liability,Sport,30000 to 39000,0,1066,6,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
1067,Dec,1,Thursday,Mazda,Urban,Friday,Dec,2,Male,Married,41,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1067,6,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,3 to 4,1994,All Perils
1068,Nov,5,Monday,Pontiac,Urban,Thursday,Dec,1,Male,Married,39,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1068,15,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
1069,Nov,5,Monday,Accura,Urban,Thursday,Dec,1,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,1069,11,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1070,Sep,4,Monday,Mazda,Urban,Tuesday,Oct,1,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1070,1,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
1071,Jun,3,Sunday,Honda,Rural,Friday,Jul,2,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,1071,15,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
1072,Feb,1,Saturday,Honda,Rural,Thursday,Feb,2,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,1,1072,8,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,2 to 3 years,2 vehicles,1994,Collision
1073,Feb,1,Saturday,Honda,Urban,Monday,Feb,3,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,1073,3,400,1,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
1074,Jun,5,Thursday,Honda,Urban,Friday,Jul,3,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,1074,12,400,4,none,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
1075,Jul,1,Monday,Pontiac,Urban,Monday,Jul,2,Male,Married,51,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1075,6,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
1076,Jul,4,Tuesday,Toyota,Urban,Wednesday,Nov,4,Male,Married,65,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1076,2,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
1077,Jul,5,Sunday,Honda,Urban,Tuesday,Aug,1,Female,Married,65,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1077,7,400,3,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability
1078,Aug,1,Thursday,Toyota,Urban,Wednesday,Aug,2,Female,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1078,3,400,2,more than 30,more than 30,2 to 4,3 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
1079,Aug,3,Wednesday,Pontiac,Rural,Friday,Aug,3,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1079,1,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
1080,Feb,1,Saturday,Chevrolet,Urban,Tuesday,Feb,2,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,1080,4,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
1081,Sep,2,Tuesday,Pontiac,Urban,Wednesday,Sep,3,Male,Married,38,Third Party,Sedan - Liability,Sport,30000 to 39000,0,1081,1,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
1082,Sep,4,Sunday,Honda,Urban,Tuesday,Sep,4,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,1082,12,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1083,Sep,5,Wednesday,Mazda,Urban,Friday,Sep,5,Male,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1083,7,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
1084,Oct,3,Wednesday,Honda,Urban,Wednesday,Oct,3,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1084,10,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
1085,Oct,4,Monday,Pontiac,Urban,Friday,Nov,4,Male,Married,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1085,4,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
1086,Feb,1,Sunday,Toyota,Urban,Tuesday,Feb,4,Male,Single,25,Third Party,Sedan - Collision,Sedan,more than 69000,0,1086,10,400,4,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
1087,Nov,3,Monday,Pontiac,Urban,Friday,Nov,3,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1087,6,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1088,Nov,4,Monday,Pontiac,Urban,Friday,Dec,1,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1088,5,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
1089,Feb,1,Sunday,Honda,Rural,Monday,Feb,2,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,1089,4,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
1090,Nov,4,Friday,VW,Urban,Thursday,Dec,1,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1090,11,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
1091,Nov,4,Friday,Pontiac,Rural,Tuesday,Nov,5,Male,Single,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1091,9,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
1092,Nov,5,Monday,Toyota,Urban,Tuesday,Nov,5,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1092,4,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
1093,Dec,4,Sunday,Toyota,Urban,Wednesday,Dec,5,Male,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1093,9,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,1 year,2 vehicles,1994,Liability
1094,Apr,4,Tuesday,Toyota,Urban,Wednesday,Apr,4,Male,Married,38,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1094,11,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
1095,May,3,Thursday,Chevrolet,Urban,Friday,Jun,4,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1095,12,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
1096,May,4,Saturday,Pontiac,Urban,Monday,Jun,1,Female,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1096,11,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
1097,May,5,Wednesday,Toyota,Urban,Thursday,Jun,1,Male,Married,54,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1097,8,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
1098,Aug,1,Sunday,Pontiac,Urban,Tuesday,Aug,2,Male,Single,32,Third Party,Sedan - All Perils,Sedan,less than 20000,0,1098,5,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
1099,Aug,3,Wednesday,Honda,Urban,Thursday,Aug,3,Male,Single,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1099,14,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
